"iBAQ.Pet309_1"	"iBAQ.Pet309_2"	"iBAQ.Pet309_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"id"	"Uniprot"	"Symbol"
485760	567280	104940	0	0	0	99	"P40156"	"RRG9"
48352	0	18518	0	0	0	112	"P46943"	"GUF1"
75094	81041	120630	0	0	0	194	"P07252"	"CBP1"
0	97580	44862	0	0	0	210	"P08466"	"NUC1"
112990	50609	0	0	0	0	218	"P09950"	"HEM1"
5922.1	0	0	0	0	0	273	"P14905"	"CBS2"
51291	50355	0	0	0	0	331	"P25379"	"CHA1"
2303400	2365700	1712600	0	0	0	377	"P32522"	"PET309"
161830	226340	0	0	0	0	534	"P47141"	"RSM26"
135030	72963	0	0	0	0	571	"P53297"	"PBP1"
