"iBAQ.Pet309_1"	"iBAQ.Pet309_2"	"iBAQ.Pet309_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"id"	"Uniprot"	"Symbol"
0	0	0	897180	1288000	312060	91	"Q08230"	"SDH5"
0	0	0	0	49043	99222	103	"A6ZTE8"	"MGR1"
0	0	0	143880	128760	287100	115	"P43617"	"YFR045W"
0	0	0	0	249390	0	125	"P00045"	"CYC7"
0	0	0	190540	948030	73333	133	"P00360"	"TDH1"
0	0	0	3999500	2824100	2103500	134	"P00401"	"COX1"
0	0	0	0	65656	35433	211	"P08468"	"PET111"
0	0	0	46787	0	0	224	"P0CI40"	"SAL1"
0	0	0	341590	321270	661460	267	"P14066"	"CBS1"
0	0	0	0	281200	0	271	"P14693"	"SAM35"
0	0	0	120030	152410	143600	272	"P14832"	"CPR1"
0	0	0	0	866470	0	304	"P21592"	"COX10"
0	0	0	20606	0	33866	323	"P24720"	"MNE1"
0	0	0	59645	0	0	362	"P32317"	"AFG1"
0	0	0	366280	248230	129030	371	"P32451"	"BIO2"
0	0	0	25554	273370	0	384	"P32795"	"YME1"
0	0	0	2443100	5160200	2046300	432	"P37298"	"SDH4"
0	0	0	310290	542490	175560	443	"P38127"	"RIM2"
0	0	0	0	95158	0	451	"P38300"	"MBA1"
0	0	0	0	0	85838	452	"P38323"	"MCX1"
0	0	0	43626	85546	49791	479	"P39925"	"AFG3"
0	0	0	1838800	2125200	638840	487	"P40035"	"PIC2"
0	0	0	4754300	4473000	1895100	492	"P40099"	"FAU1"
0	0	0	147820	0	0	500	"P40452"	"COA1"
0	0	0	219740	435030	45652	501	"P40471"	"AYR1"
0	0	0	0	362850	0	546	"P49334"	"TOM22"
0	0	0	812040	595920	507480	557	"P53163"	"MNP1"
0	0	0	232840	333160	126480	558	"P53170"	"PKP2"
0	0	0	499340	388630	434850	606	"Q01976"	"YSA1"
0	0	0	0	0	552740	618	"Q02873"	"YPL107W"
0	0	0	856960	990940	1045400	622	"Q03020"	"ISU1"
0	0	0	0	0	63395	624	"Q03104"	"MSC1"
0	0	0	21179	17449	12228	644	"Q04748"	"SOV1"
0	0	0	33946	138410	27658	661	"Q07500"	"NDE2"
0	0	0	633360	1183300	830370	686	"Q12349"	"ATP14"
0	0	0	1197800	1160100	0	696	"Q12497"	"FMP16"
