"iBAQ.Cbp1_1"	"iBAQ.Cbp1_2"	"iBAQ.Cbp1_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"id"	"Uniprot"	"Symbol"
187120	392110	208360	0	0	0	99	"P40156"	"RRG9"
49546	53460	62488	0	0	0	112	"P46943"	"GUF1"
0	0	22405	0	0	0	137	"P00445"	"SOD1"
132730	43773	0	0	0	0	184	"P06182"	"CYC3"
1507700	1526500	1996800	0	0	0	194	"P07252"	"CBP1"
44417	0	138360	0	0	0	218	"P09950"	"HEM1"
62348	41968	20548	0	0	0	273	"P14905"	"CBS2"
38031	50305	51957	0	0	0	331	"P25379"	"CHA1"
10153	0	0	0	0	0	357	"P30775"	"MRF1"
0	186710	156080	0	0	0	534	"P47141"	"RSM26"
196050	0	0	0	0	0	568	"P53266"	"SHY1"
119940	0	0	0	0	0	640	"Q04458"	"HFD1"
