"iBAQ.Mrpl4_1"	"iBAQ.Mrpl4_2"	"iBAQ.Mrpl4_3"	"iBAQ.Kgd4_1"	"iBAQ.Kgd4_2"	"iBAQ.Kgd4_3"	"id"	"Uniprot"	"Symbol"
0	0	0	0	65392	39816	83	"P33893"	"PET112"
0	0	0	54425	30150	239510	88	"Q03153"	"ATP25"
0	0	0	3093400	1070200	4378200	100	"P53921"	"YNL122C"
0	0	0	0	249390	0	125	"P00045"	"CYC7"
0	0	0	97725	0	0	145	"P00925"	"ENO2"
0	0	0	69374	0	26751	190	"P07236"	"MST1"
0	0	0	60178	101000	104250	208	"P08425"	"MSF1"
0	0	0	3608700	550500	3059600	245	"P10174"	"COX7"
0	0	0	0	281200	0	271	"P14693"	"SAM35"
0	0	0	366280	248230	129030	371	"P32451"	"BIO2"
0	0	0	401500	398960	337420	372	"P32453"	"ATP11"
0	0	0	20706	271040	304500	412	"P36101"	"TCD2"
0	0	0	91832	153470	110570	439	"P38081"	"YBR056W"
0	0	0	31234	55539	98195	440	"P38088"	"GRS1"
0	0	0	97937	170210	109510	457	"P38705"	"DIA4"
0	0	0	51910	240860	160390	458	"P38714"	"MSR1"
0	0	0	153760	709940	364110	491	"P40098"	"FMP10"
0	0	0	4754300	4473000	1895100	492	"P40099"	"FAU1"
0	0	0	438610	715690	289600	503	"P40502"	"AIM19"
0	0	0	30006	0	0	539	"P48527"	"MSY1"
0	0	0	232840	333160	126480	558	"P53170"	"PKP2"
0	0	0	0	98873	36563	560	"P53206"	"YGR012W"
0	0	0	0	195400	0	561	"P53212"	"YGR021W"
0	0	0	95916	0	0	593	"P54964"	"REX2"
0	0	0	856960	990940	1045400	622	"Q03020"	"ISU1"
0	0	0	0	0	63395	624	"Q03104"	"MSC1"
0	0	0	0	0	134800	647	"Q05863"	"YLR281C"
0	0	0	76208	112560	135490	663	"Q07821"	"ISA1"
0	0	0	633360	1183300	830370	686	"Q12349"	"ATP14"
0	0	0	379870	554320	699190	694	"Q12486"	"YOR131C"
