"iBAQ.Pet309_1"	"iBAQ.Pet309_2"	"iBAQ.Pet309_3"	"iBAQ.Kgd41_1"	"iBAQ.Kgd41_2"	"iBAQ.Kgd41_3"	"id"	"Uniprot"	"Symbol"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"gene"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
118200	174330	117370	0	65392	39816	83	"P33893"	"PET112"	1.54858813754865	4.85543399778347	4.23918679395506	0.00830668149042329	0.00330922738342549	0.0149773692847326	0.00563696657922706	4	3.47859151287114	0.254888530478237	0.152583300759634	0.200169547877019	"PET112"	"Significant"	"Significant"	2.48027339059953	2.08057244170806
19590000	12898000	14501000	9808600	9146600	9188000	85	"P38325"	"OM14"	0.717389266769684	3.93074955957549	2.30512440556684	0.0170922253251502	0.0522616237876755	0.0235048133562238	0.0515255616265735	4	3.47859151287114	0.254888530478237	0.049963201570059	0.145282154167677	"OM14"	"Not Significant"	"Not Significant"	1.28181710071142	1.76720139055503
831080	220200	452280	1989700	2406500	2142900	86	"Q04689"	"AIM32"	-2.31793937670949	-4.14269005947752	-4.66879759278835	0.0143451408892892	0.00192145396554414	0.0211617869450482	0.00383498840030682	4	3.47859151287114	0.254888530478237	0.469602630652329	0.369730529699377	"AIM32"	"Significant"	"Significant"	2.71637001596135	1.84329518201956
2135000	2245100	1682500	1247500	2120400	1740100	87	"Q04728"	"ARG7"	0.269691934105483	1.0471037094572	0.796942038956212	0.354151313498262	0.450041752695233	0.252466733525775	0.296994939600668	4	3.47859151287114	0.254888530478237	0.0995056585985764	0.171780436333912	"ARG7"	"Not Significant"	"Not Significant"	0.346747192615826	0.450811143124411
123130	15529	36189	54425	30150	239510	88	"Q03153"	"ATP25"	-0.835271638307393	-0.672488357115318	-0.878417890603972	0.538121884074045	0.407052205316216	0.346846953463375	0.275285076863727	4	3.47859151287114	0.254888530478237	2.31407371812125	1.35626446956999	"ATP25"	"Not Significant"	"Not Significant"	0.390349888006231	0.26911934592165
534400	280490	984070	1940300	3221400	1726100	92	"P32875"	"LIP5"	-2.06421252948504	-3.49095374471845	-4.0019791940991	0.0251011214190797	0.00452059295226435	0.0313321341253638	0.00697971133199244	4	3.47859151287114	0.254888530478237	0.524459419418553	0.399071235725003	"LIP5"	"Significant"	"Significant"	2.34480459638178	1.6003068755214
87046	0	0	193630	216420	242620	93	"Q08622"	"GEP3"	-1.22230208963995	-5.47384620284892	-3.75944289930386	0.00542052759491645	0.00627274997227721	0.011783027522847	0.00862698293209038	4	3.47859151287114	0.254888530478237	0.0747933844065427	0.158562827563864	"GEP3"	"Not Significant"	"Not Significant"	2.20254202281248	2.26595844032332
621910	724370	602580	3671900	3607300	4746700	94	"Q12032"	"AIM41"	-2.61852331069559	-17.231008092104	-8.66172877641557	6.65609328638955e-05	3.69754650587777e-05	0.00154298450514668	0.000275067251046027	4	3.47859151287114	0.254888530478237	0.0346403901815469	0.137086594154998	"AIM41"	"Significant"	"Significant"	4.43208635495945	4.17678059995647
50265	61773	0	0	0	132930	96	"P47025"	"MDV1"	-0.288682562247604	-0.560354514579483	-0.614085069812748	0.605136061176754	0.557371729820605	0.373368341318919	0.354943916441704	4	3.47859151287114	0.254888530478237	0.398113230885423	0.33149370414533	"MDV1"	"Not Significant"	"Not Significant"	0.253855062702497	0.218146965885244
6463000	2315000	2652000	8178100	9357000	7463700	97	"P40033"	"RSM18"	-1.28246859856631	-2.70520903059288	-2.87310181199296	0.0538033300080668	0.022251463101727	0.0549713602012645	0.0249432844672051	4	3.47859151287114	0.254888530478237	0.337118885337254	0.298870264053332	"RSM18"	"Not Significant"	"Not Significant"	1.65264142755425	1.26919084404787
