"iBAQ.Cbp1_1"	"iBAQ.Cbp1_2"	"iBAQ.Cbp1_3"	"iBAQ.Kgd41_1"	"iBAQ.Kgd41_2"	"iBAQ.Kgd41_3"	"id"	"Uniprot"	"Symbol"	"logFC"	"t.ord"	"t.mod"	"p.ord"	"p.mod"	"q.ord"	"q.mod"	"df.r"	"df.0"	"s2.0"	"s2"	"s2.post"	"gene"	"categ_Ord"	"categ_Mod"	"NegLogPvalMod"	"NegLogPvalOrd"
86515	0	114290	0	65392	39816	83	"P33893"	"PET112"	1.39144503409971	2.71979406961755	2.97654995861137	0.0529981328698463	0.0197564548504608	0.0268347562472486	0.0117529346748766	4	3.26174390961326	0.248312115949008	0.392600930384002	0.32779099387748	"PET112"	"Not Significant"	"Not Significant"	1.70429098368627	1.27573943037292
5538800	6518000	7257000	9808600	9146600	9188000	85	"P38325"	"OM14"	-0.551219194071947	-4.67532349908009	-1.9247921803273	0.00948065166801028	0.0941516608186896	0.00807539924362476	0.0444309808244575	4	3.26174390961326	0.248312115949008	0.0208505055710749	0.123019011036942	"OM14"	"Not Significant"	"Not Significant"	1.02617201470169	2.02316180969844
759950	689560	754070	1989700	2406500	2142900	86	"Q04689"	"AIM32"	-1.56618570434164	-17.0891075131143	-5.57285323304578	6.87739691564372e-05	0.000739364186159138	0.000626806771740798	0.00094579992537893	4	3.26174390961326	0.248312115949008	0.012599085002164	0.118473865588897	"AIM32"	"Significant"	"Significant"	3.13114158991406	4.16257591046974
2157500	1720200	2049600	1247500	2120400	1740100	87	"Q04728"	"ARG7"	0.24157759070773	0.989134196791921	0.737792082195833	0.378591308397144	0.483795501354093	0.137970517194325	0.179878455119227	4	3.26174390961326	0.248312115949008	0.0894734362576436	0.160818708487426	"ARG7"	"Not Significant"	"Not Significant"	0.315338174308527	0.421829360679904
240700	250620	280530	54425	30150	239510	88	"Q03153"	"ATP25"	1.80941184846945	2.02905621186702	2.52777269386162	0.112333296265859	0.0382022008852281	0.048747650514862	0.0203794195938918	4	3.26174390961326	0.248312115949008	1.19282837469291	0.76858177596471	"ATP25"	"Not Significant"	"Significant"	1.41791161602086	0.94949149715576
1057900	503300	730530	1940300	3221400	1726100	92	"P32875"	"LIP5"	-1.59792480088565	-3.85256175312635	-3.88563490860037	0.0182626510466551	0.00559486617067831	0.0121641481624599	0.004302049504009	4	3.26174390961326	0.248312115949008	0.258050506690559	0.253676331962552	"LIP5"	"Significant"	"Significant"	2.25221029734493	1.73843617908187
53433	0	74859	193630	216420	242620	93	"Q08622"	"GEP3"	-1.4675906400573	-4.17078070098507	-3.88695884118671	0.0140223370492217	0.00558507464230129	0.0103064311624277	0.004302049504009	4	3.26174390961326	0.248312115949008	0.185723309923241	0.213836206688198	"GEP3"	"Not Significant"	"Not Significant"	2.25297101833656	1.85317959813856
607680	0	534320	3671900	3607300	4746700	94	"Q12032"	"AIM41"	-3.77503565463712	-3.84421284676709	-4.8511988651142	0.0183932276779418	0.00167148695485843	0.0121641481624599	0.0017049083996882	4	3.26174390961326	0.248312115949008	1.44650028405794	0.90831234896342	"AIM41"	"Significant"	"Significant"	2.77689700851509	1.73534205326762
154540	0	0	0	0	132930	96	"P47025"	"MDV1"	-0.0161395330318788	-0.0243331659514032	-0.0286799173055491	0.981752376395934	0.977892226311031	0.288635574807727	0.31047393871901	4	3.26174390961326	0.248312115949008	0.659896694802824	0.475026020474862	"MDV1"	"Not Significant"	"Not Significant"	0.00970900625282954	0.00799803881803095
6518100	7437600	6496800	8178100	9357000	7463700	97	"P40033"	"RSM18"	-0.286228272061803	-2.50052825098699	-1.00216320587323	0.0667288655821745	0.348483029536481	0.0316866438271027	0.135738280394302	4	3.26174390961326	0.248312115949008	0.0196540829860952	0.12235998334339	"RSM18"	"Not Significant"	"Not Significant"	0.457818366369747	1.17568625826911
46888	47176	28002	213000	949100	275710	98	"P40047"	"ALD5"	-3.27118256566333	-4.6042899437158	-5.51049882640015	0.00999853118705737	0.000791161365520234	0.00832755596938596	0.000966439854869992	4	3.26174390961326	0.248312115949008	0.757138788804264	0.528590065261795	"ALD5"	"Significant"	"Significant"	3.10173492862908	2.00006379442081
0	967570	1464500	3093400	1070200	4378200	100	"P53921"	"YNL122C"	-2.16720760618626	-1.66865677855812	-2.16341800334361	0.17050985114782	0.0658766780608697	0.0698759735375163	0.0330273536037177	4	3.26174390961326	0.248312115949008	2.53021984419022	1.50525962423025	"YNL122C"	"Not Significant"	"Not Significant"	1.18126830895899	0.768250524732789
0	66991	262110	2902600	7680500	4897100	101	"P42844"	"ZIM17"	-5.0430815789559	-7.10275669646476	-8.49958149696311	0.00207551876987499	4.99970789284057e-05	0.00370907896474485	0.000210337303518266	4	3.26174390961326	0.248312115949008	0.756187283323635	0.528065945715596	"ZIM17"	"Significant"	"Significant"	4.30105536851064	2.68287333474209
205740	365170	393220	0	49043	99222	103	"A6ZTE8"	"MGR1"	2.33857428997308	5.10648249557178	5.36673281541401	0.00695115499430721	0.000926639205411388	0.0067703144916616	0.00105762929045401	4	3.26174390961326	0.248312115949008	0.314593616182747	0.284822078877331	"MGR1"	"Significant"	"Significant"	3.03308932906959	2.15794302764316
1201400	1190600	1494700	755930	533920	431310	104	"P53166"	"MRH4"	1.20614806728124	4.65407913942953	3.61453213215873	0.00963205021219803	0.00805255866124296	0.00812839074414055	0.00572764458448969	4	3.26174390961326	0.248312115949008	0.1007453434595	0.167027634245292	"MRH4"	"Not Significant"	"Not Significant"	2.09406610275027	2.01628126208877
1541300	1315100	1382500	1948800	11880000	13986000	105	"P48237"	"CCM1"	-2.2841202638291	-2.50019612017806	-3.12543750302842	0.066752553065647	0.015947576082252	0.0316866438271027	0.00990738057428919	4	3.26174390961326	0.248312115949008	1.25193285997147	0.801138410301718	"CCM1"	"Not Significant"	"Significant"	1.79730531725254	1.17553211930993
5376300	3914900	5545300	7037100	10576000	9553300	106	"P40496"	"RSM25"	-0.868949249698383	-3.64107231669592	-2.67238181788567	0.0219438414382749	0.0308296770719451	0.0136051994219057	0.0171940251656059	4	3.26174390961326	0.248312115949008	0.0854321772916309	0.15859265424133	"RSM25"	"Not Significant"	"Not Significant"	1.51103102430388	1.65868734351559
685820	239090	859870	2400100	2166200	1562900	108	"Q3E785"	"SDH6"	-1.94958946495275	-3.25581066415852	-3.73909497130901	0.0312039669847001	0.00680281491340028	0.0177745828573386	0.00505866562900865	4	3.26174390961326	0.248312115949008	0.537847699192942	0.407797543608136	"SDH6"	"Significant"	"Significant"	2.1673113448828	1.50579019027491
6860700	5619200	8183800	9821800	16347000	12069000	109	"Q03429"	"MZM1"	-0.872894751639243	-3.29661625030143	-2.59698830600107	0.030028521576204	0.0344695413366303	0.0173215381204599	0.0187968142452532	4	3.26174390961326	0.248312115949008	0.105166696819516	0.169463056598406	"MZM1"	"Not Significant"	"Not Significant"	1.4625644954228	1.5224660493229
235220	184230	199620	863910	1500900	1087500	111	"P25039"	"MEF1"	-2.44960181954963	-9.67017457782782	-7.39585155207336	0.0006398375317231	0.000125002498478132	0.00201085753919528	0.000306746737507374	4	3.26174390961326	0.248312115949008	0.0962528553610945	0.164553028610985	"MEF1"	"Significant"	"Significant"	3.90308130647657	3.19393028856862
