id	Uniprot	Symbol	iBAQ.Mrpl4_1	iBAQ.Mrpl4_2	iBAQ.Mrpl4_3	iBAQ.Kgd4_1	iBAQ.Kgd4_2	iBAQ.Kgd4_3	logFC	t.ord	t.mod	p.ord	p.mod	q.ord	q.mod	df.r	df.0	s2.0	s2	s2.post	categ_Ord	categ_Mod	NegLogPvalMod	NegLogPvalOrd
85	P38325	OM14	9031400	8743600	9112800	9808600	9146600	9188000	-0.065320733	-1.752461104	-0.247778833	0.15457129	0.811480514	0.040739267	0.167236746	4	2.936089478	0.243430199	0.002083995	0.104247332	Not Significant	Not Significant	0.090721905	0.810871169
86	Q04689	AIM32	382540	964390	1035600	1989700	2406500	2142900	-1.58240463	-3.369769942	-3.575513791	0.0280497	0.009169796	0.01002422	0.003407539	4	2.936089478	0.243430199	0.330769796	0.293798405	Significant	Significant	2.037640314	1.552071773
87	Q04728	ARG7	276750	349600	250300	1247500	2120400	1740100	-2.523461323	-9.520622059	-7.635947396	0.000679523	0.000128432	0.00093442	0.000199212	4	2.936089478	0.243430199	0.105378961	0.163816902	Significant	Significant	3.891327933	3.167795525
91	Q08230	SDH5	0	379270	232790	897180	1288000	312060	-1.831554283	-2.123232236	-2.595853211	0.100973932	0.035925373	0.028900983	0.010517553	4	2.936089478	0.243430199	1.116184147	0.746742015	Not Significant	Significant	1.444598719	0.995790731
92	P32875	LIP5	194550	288740	200210	1940300	3221400	1726100	-3.301947293	-9.958276733	-9.084833011	0.000571174	4.24E-05	0.000900675	0.000147728	4	2.936089478	0.243430199	0.164916136	0.198151623	Significant	Significant	4.372192891	3.243231767
93	Q08622	GEP3	233620	520720	307190	193630	216420	242620	0.625989352	1.777826389	1.671856482	0.150063965	0.138868563	0.040019011	0.035366822	4	2.936089478	0.243430199	0.185971526	0.210294137	Not Significant	Not Significant	0.857396059	0.823723582
94	Q12032	AIM41	0	418900	0	3671900	3607300	4746700	-4.829554482	-5.827362582	-7.083875628	0.004319898	0.000205042	0.002723839	0.00024704	4	2.936089478	0.243430199	1.030294346	0.697209897	Significant	Significant	3.688156619	2.364526478
96	P47025	MDV1	0	0	87679	0	0	132930	-0.307264265	-0.95322072	-0.856762358	0.394457011	0.420188609	0.091397151	0.094694919	4	2.936089478	0.243430199	0.155857757	0.192927712	Not Significant	Not Significant	0.376555725	0.40400032
97	P40033	RSM18	4666600	2048900	1919900	8178100	9357000	7463700	-1.653150068	-3.907164146	-3.986832931	0.017435548	0.005377292	0.006893047	0.002276298	4	2.936089478	0.243430199	0.268529809	0.257904989	Significant	Significant	2.269436343	1.758564391
98	P40047	ALD5	418360	550150	428720	213000	949100	275710	0.27468018	0.40565564	0.475918567	0.705756947	0.648756965	0.151015807	0.138720808	4	2.936089478	0.243430199	0.68775043	0.499666934	Not Significant	Not Significant	0.187917966	0.151344838
101	P42844	ZIM17	0	391520	288210	2902600	7680500	4897100	-4.667464773	-4.972484678	-6.145604022	0.00763799	0.000486782	0.00383446	0.000358792	4	2.936089478	0.243430199	1.321619536	0.865215336	Significant	Significant	3.31266584	2.117020886
103	A6ZTE8	MGR1	285530	516650	512040	0	49043	99222	2.242187785	4.136971715	4.595060034	0.014411946	0.002558676	0.006223954	0.001262231	4	2.936089478	0.243430199	0.440626	0.357151801	Significant	Significant	2.591984757	1.841277362
104	P53166	MRH4	317710	332610	503420	755930	533920	431310	-0.570098942	-1.800498765	-1.602802061	0.146153536	0.153406539	0.039508368	0.038444221	4	2.936089478	0.243430199	0.150385538	0.189771917	Not Significant	Not Significant	0.814156128	0.835190672
105	P48237	CCM1	153560	422840	535930	1948800	11880000	13986000	-4.394595286	-4.123459777	-5.165736381	0.014571297	0.001338602	0.006223954	0.000762406	4	2.936089478	0.243430199	1.703748573	1.085586793	Significant	Significant	2.873348392	1.836501781
106	P40496	RSM25	1798700	1887200	3227300	7037100	10576000	9553300	-2.006724254	-6.214717393	-5.590972339	0.003411836	0.000850257	0.002432195	0.000517178	4	2.936089478	0.243430199	0.156395369	0.19323775	Significant	Significant	3.07044966	2.467011878
108	Q3E785	SDH6	1150300	192650	350720	2400100	2166200	1562900	-2.236010191	-2.866039601	-3.451412819	0.045650488	0.010825194	0.014510687	0.003897747	4	2.936089478	0.243430199	0.913007704	0.629571414	Significant	Significant	1.965564328	1.340554573
109	Q03429	MZM1	776690	5536200	4316800	9821800	16347000	12069000	-2.235302188	-2.440447887	-3.007223133	0.07117404	0.019956245	0.021136722	0.006314527	4	2.936089478	0.243430199	1.258417267	0.828766978	Not Significant	Significant	1.699921178	1.147678381
111	P25039	MEF1	259450	556840	876220	863910	1500900	1087500	-1.159189314	-2.06246412	-2.314360495	0.108149912	0.054173017	0.030815472	0.015357409	4	2.936089478	0.243430199	0.473835061	0.376303261	Not Significant	Not Significant	1.266216974	0.96597383
113	P36517	MRPL4	12691000	16668000	14256000	8080500	4065000	6611300	1.265202128	4.00951568	3.56261563	0.016003029	0.00932836	0.006573204	0.003437823	4	2.936089478	0.243430199	0.149357575	0.189179097	Not Significant	Not Significant	2.030194712	1.795797811
115	P43617	YFR045W	3492300	4170100	4028600	143880	128760	287100	4.476406151	12.08948323	11.6451983	0.000268513	8.34E-06	0.000714647	4.75E-05	4	2.936089478	0.243430199	0.20565286	0.22164424	Significant	Significant	5.078841317	3.571034159
118	P47127	AIM24	268630	990700	552780	2229200	3967700	2102200	-2.327246373	-3.765330929	-4.329045744	0.019683818	0.003516699	0.007546073	0.001644211	4	2.936089478	0.243430199	0.573019868	0.433502527	Significant	Significant	2.453864793	1.705890654
119	Q08223	AIM39	106940	426590	435830	0	259830	271570	0.768726656	0.76944462	0.95768521	0.484547885	0.370403579	0.109075197	0.085004071	4	2.936089478	0.243430199	1.497202026	0.966472675	Not Significant	Not Significant	0.431324826	0.314663298
124	P00044	CYC1	10779000	14576000	15191000	19133000	37766000	14508000	-0.711654897	-1.622020392	-1.678742236	0.180118148	0.137492158	0.046503647	0.035159205	4	2.936089478	0.243430199	0.288747029	0.269564135	Not Significant	Not Significant	0.861722071	0.744442527
127	P00128	QCR7	2821800	6224700	7541700	9912800	7725600	4925700	-0.503252853	-0.958707131	-1.05486116	0.391996976	0.32684091	0.091161075	0.075840265	4	2.936089478	0.243430199	0.413325153	0.341407571	Not Significant	Not Significant	0.485663589	0.406717283
128	P00175	CYB2	5897500	4562100	6733000	16995000	24042000	15201000	-1.699855583	-6.575669162	-5.190912297	0.002768419	0.001302244	0.002135569	0.000748502	4	2.936089478	0.243430199	0.100238694	0.160852542	Significant	Significant	2.885307706	2.557768219
132	P00359	TDH3	3967200	3975300	5144700	7013400	9953600	6820700	-0.85099347	-3.955600084	-2.755359094	0.01673923	0.028542783	0.006787448	0.008515383	4	2.936089478	0.243430199	0.069425491	0.143082758	Not Significant	Not Significant	1.544503692	1.776264528
133	P00360	TDH1	106290	126090	0	190540	948030	73333	-1.089059976	-1.007287673	-1.263597534	0.370783575	0.247185742	0.086866505	0.060024826	4	2.936089478	0.243430199	1.75342751	1.11423633	Not Significant	Not Significant	0.606976583	0.430879512
134	P00401	COX1	928520	1752200	1187400	3999500	2824100	2103500	-1.206808093	-3.192309917	-3.104468562	0.03314305	0.017415927	0.011393844	0.005730043	4	2.936089478	0.243430199	0.214366833	0.226669535	Not Significant	Not Significant	1.759053411	1.479607522
135	P00410	COX2	650490	2799400	2510000	6339300	16675000	6179400	-2.38633379	-2.892403335	-3.513715067	0.044455497	0.009957029	0.014274301	0.003626841	4	2.936089478	0.243430199	1.02102396	0.691863722	Significant	Significant	2.00187024	1.352074534
136	P00427	COX6	959710	930320	1438500	990630	1074200	506040	0.418010141	1.046779585	1.042879837	0.354284001	0.331983005	0.084131255	0.076749182	4	2.936089478	0.243430199	0.239196272	0.240988519	Not Significant	Not Significant	0.478884148	0.450648459
138	P00447	SOD2	8340800	12745000	10868000	4717300	7319800	2849000	1.184612865	2.743047145	2.821688671	0.05174302	0.025957894	0.016044169	0.007894587	4	2.936089478	0.243430199	0.279754837	0.264378394	Not Significant	Not Significant	1.58573054	1.28614823
140	P00560	PGK1	806580	1303000	660680	382050	455600	36880	2.252364905	1.86989885	2.367071945	0.134846886	0.050144932	0.03708589	0.014345316	4	2.936089478	0.243430199	2.176369013	1.358144085	Not Significant	Not Significant	1.299772954	0.870159079
141	P00830	ATP2	15653000	19061000	18534000	56717000	76611000	50075000	-1.766062007	-8.718511116	-5.811170605	0.000953281	0.000678337	0.001145787	0.000435004	4	2.936089478	0.243430199	0.061548646	0.13854023	Significant	Significant	3.168554762	3.020779206
143	P00890	CIT1	7508100	10959000	11126000	18572000	20879000	15609000	-0.908329658	-4.090336174	-2.914428357	0.014971004	0.02274966	0.006313283	0.007090977	4	2.936089478	0.243430199	0.073970788	0.145704002	Not Significant	Not Significant	1.643025088	1.82474908
144	P00924	ENO1	251740	217810	121770	510900	1180900	850840	-2.088193428	-4.390661737	-4.679392763	0.011776538	0.002318297	0.005477399	0.00118084	4	2.936089478	0.243430199	0.339291319	0.298712715	Significant	Significant	2.634830847	1.928982367
146	P00927	ILV1	869490	396550	467820	1259500	1456100	1382600	-1.324834306	-3.783622598	-3.548349388	0.019375135	0.009507208	0.007473026	0.003483245	4	2.936089478	0.243430199	0.183907215	0.209103662	Not Significant	Not Significant	2.021947026	1.712755257
148	P00950	GPM1	688340	905980	507060	3222800	3094500	2155500	-2.029023603	-6.671415094	-5.808107574	0.002623462	0.000680443	0.002059661	0.000435004	4	2.936089478	0.243430199	0.138748894	0.183061136	Significant	Significant	3.167207962	2.581125149
149	P01097	INH1	8926000	5721900	4198900	10827000	12276000	9773100	-0.866209008	-2.626673498	-2.389480478	0.058389356	0.048526519	0.017671891	0.013946006	4	2.936089478	0.243430199	0.16312648	0.19711954	Not Significant	Not Significant	1.314020857	1.233666311
150	P01098	STF1	2352800	3391100	1894200	5327600	7449400	7919300	-1.459420743	-4.81945062	-4.18553027	0.008526429	0.004193232	0.004235248	0.001876498	4	2.936089478	0.243430199	0.137548931	0.182369125	Not Significant	Not Significant	2.377451112	2.069232808
151	P01120	RAS2	80925	323020	210580	723440	1730800	849380	-2.531333783	-3.586920456	-4.243075016	0.023024984	0.003906148	0.008517239	0.00177336	4	2.936089478	0.243430199	0.747044715	0.533861582	Significant	Significant	2.408251321	1.637800656
155	P02381	VAR1	419820	797310	576280	1192000	2011000	860000	-1.139269518	-2.555474657	-2.660889012	0.062939069	0.032699728	0.01895818	0.009663523	4	2.936089478	0.243430199	0.298126827	0.274973407	Not Significant	Not Significant	1.485455866	1.201079683
158	P02992	TUF1	1650900	1950800	2170700	9565700	15884000	11898000	-2.671513707	-11.08316978	-8.356492157	0.000376951	7.26E-05	0.000744093	0.000165245	4	2.936089478	0.243430199	0.087152149	0.153305612	Significant	Significant	4.139227929	3.423714865
159	P02994	TEF1	13005000	1716100	1571000	3620800	5054600	3109900	-0.232987437	-0.229059484	-0.28563475	0.830057749	0.783499478	0.172148837	0.163079516	4	2.936089478	0.243430199	1.551885618	0.998008365	Not Significant	Not Significant	0.105961289	0.080891692
160	P03874	CBP2	0	0	42296	81119	4005900	53331	-1.801398257	-0.886308199	-1.150638584	0.425523067	0.287999656	0.097523583	0.068606208	4	2.936089478	0.243430199	6.196425068	3.676485604	Not Significant	Not Significant	0.540608031	0.371076893
163	P04037	COX4	36998000	48439000	25025000	61235000	104260000	65920000	-1.076733385	-2.939386581	-2.817163691	0.042415041	0.026126157	0.013899692	0.007907376	4	2.936089478	0.243430199	0.201277024	0.219120723	Not Significant	Not Significant	1.582924462	1.372480106
167	P04710	AAC1	1193200	1681700	1583900	4189300	5955100	5402800	-1.802101571	-8.384902255	-5.836496156	0.001106779	0.000661194	0.001251097	0.000431504	4	2.936089478	0.243430199	0.069287323	0.143003077	Significant	Significant	3.179671235	2.955939215
